"Timestamp","Ikä?","Sarja johon kirjaudun","Olen juossut viimeisen vuoden aikana","Viimeisen vuoden aikana teen vähintään puolituntia kestävää liikuntaa","Viimeisin Cooper-tulokseni (valitse lähin)","Olen treenannut","Useimmiten treenaan","Kovan treenin ohessa","Tavoitteenani on","Haaveissani olisi","Isoimmat esteet haaveilleni ovat kaiketi","Uusilla reiteillä seuraan","Olen käynyt yhteislenkillä","Yhteislenkki oli (jos osallistuit)","Minulle käteviä treenipaikkoja olisivat","Käyn treeneissä yleensä","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Maanantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Tiistai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Keskiviikko]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Torstai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Perjantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Lauantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Sunnuntai]","Treenimääränä minusta olisi optimaalinen","Treenin tehokkuus tulisi olla mielestäni","Treenimaaston tulisi sisältää","Treeneistä tulisi ilmoittaa","Korona on vaikuttanut","Parasta yhteistoimintaa on ollut","Harrastan myös"
"2023/01/22 11:29:22 AM GMT+2","","","10km lenkin","kuudesti viikossa","2300m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Nopeaa kävelyä (speed hike);Vetoja;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;kisaaminen","En uskalla kulkea uusilla reiteillä yksin","järjestäjän merkkejä;merkattuja reittejä","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Vaajakoski","pyörällä;omalla autolla","17-19","17-19","17-19","17-19","17-19","10-12;12-15;15-17","10-12;12-15;15-17","1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;juurakkoa","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit","Hiihto"
"2023/01/22 11:38:24 AM GMT+2","","","puolimaratonin","12 kertaa viikossa","","Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;kisaaminen","Ajanpuute;Kaverin puute","mobiilikarttaa;olen oman tieni kulkija","En","","Laajis;Vesanka, Ruoke","juoksen alkulämpät;pyörällä","17-19;19-21","17-19;19-21","17-19;19-21","7-10","17-19;19-21","7-10;10-12","7-10;10-12","1 h 30 min;2 h;2 h 30 min;yli 3 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;rymypätkiä;suota","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Juoksukaverit","Maastopyöräily;Gravel-pyöräily;Kippurasarvipyöräily;Hiihto;Retkeily"
"2023/01/22 12:01:20 PM GMT+2","","","5km lenkin;10km lenkin","viidesti viikossa","3000m","Voimaa;Peruskestävyyttä","Yksin","Lämmittelen lihakset;Olen hankkinut ohjausta (valmennus)","voittaa itselleni asettamat haasteet","kisaaminen","Kaverin puute;Ruuhkavuodet","merkattuja reittejä;olen oman tieni kulkija","En","","Halssila;Kanavuori;Kuokkala;Sippulanniemi;Vaajakoski","omalla autolla","","","","","","","7-10;15-17;17-19","1 h","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","helppoa neulaspolkua;vain pieniä mäkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Juoksublogit tai tarinat","Maastopyöräily;Hiihto"
"2023/01/22 12:30:21 PM GMT+2","","","puolimaratonin","viidesti viikossa","Ei tulosta","Vetoja;Pitkiksiä;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Muistan juoda;Tankkaan energiaa","nauttia luonnosta;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin","","","järjestäjän merkkejä;merkattuja reittejä;mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava","Touruvuori;Halssila;Kanavuori;Vaajakoski;Kangaslampi, Leppävesi","omalla autolla","19-21","","","17-19","","10-12","10-12","1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit;Facebook-läppä","Maastopyöräily;Suppailu;Lumikenkäily;Laskettelu;Salilla/jumpassa käyti"
"2023/01/22 1:00:38 PM GMT+2","","","5km lenkin;10km lenkin;puolimaratonin;maratonin;ultran","kuudesti viikossa","3000m","Mäkeä (kävellen/sauvoilla);Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;päästä podiumille;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa","Kulkuyhteydet;Laiskuus;Ruuhkavuodet","merkattuja reittejä;gps-reittiä;mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Keskusta;Myllyjärvi;Mäyrämäki","juoksen alkulämpät;pyörällä;omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","7-10;10-12;12-15;15-17","7-10;10-12;12-15;15-17","1 h;1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä","helppoa neulaspolkua;paljon verttimetrejä;kivikkoa;juurakkoa","edellisenä päivänä;muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Juoksukaverit;Pikkujoulut","Maastopyöräily;Kippurasarvipyöräily;Uinti;Hiihto"
"2023/01/22 1:09:51 PM GMT+2","","","puolimaratonin","neljästi viikossa","","Monipuolisesti eri lajeja","Yksin","Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana","läheiset kansallispuistot","","järjestäjän merkkejä;merkattuja reittejä","Joo","ihan sopiva kaikin puolin ja mukava","Touruvuori","pyörällä;omalla autolla","17-19","17-19","17-19","17-19","17-19","10-12","10-12","1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä","helppoa neulaspolkua;paljon verttimetrejä;rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit;Facebook-läppä;Juoksublogit tai tarinat","Gravel-pyöräily;Hiihto;Retkeily"
"2023/01/22 1:31:38 PM GMT+2","","","puolimaratonin","seitsemästi viikossa","2900m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Vetoja;Pitkiksiä;Peruskestävyyttä","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä)","nauttia luonnosta;kehittää nopeuttani juoksijana;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin","kisaaminen","Laiskuus","järjestäjän merkkejä;merkattuja reittejä;mobiilikarttaa;olen oman tieni kulkija","En","ihan sopiva kaikin puolin ja mukava","Halssila","omalla autolla","","17-19","","","","","","1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;kivikkoa;juurakkoa","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Juoksukaverit;Juoksublogit tai tarinat","Gravel-pyöräily;Lumikenkäily;Retkeily"
"2023/01/22 2:37:43 PM GMT+2","","","5km lenkin;10km lenkin;puolimaratonin","viidesti viikossa","","Voimaa;Peruskestävyyttä","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;polkujuoksu pohjoisessa suomessa","En uskalla kulkea uusilla reiteillä yksin;Ajanpuute;Kaverin puute","merkattuja reittejä;gps-reittiä;mobiilikarttaa","En","","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Muurame;Vaajakoski;Autolla pääsee","omalla autolla","17-19","17-19","17-19","17-19","17-19","7-10;10-12;12-15;15-17;17-19","7-10;10-12;12-15;15-17;17-19","1 h;1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","","Uinti;Retkeily;Punttisali"
"2023/01/22 3:34:56 PM GMT+2","","","ultran","seitsemästi viikossa","2800m","Mäkeä juosten ylös;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Käytän hierontapalveluita;Muistan juoda;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa","Ajanpuute;Kaverin puute;Ruuhkavuodet","järjestäjän merkkejä;merkattuja reittejä;gps-reittiä;mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava;liian hidas","Halssila;Kanavuori;Vaajakoski","omalla autolla","19-21","","","19-21","19-21","","","1 h;1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut","Maastopyöräily;Hiihto;Retkiluistelu"
"2023/01/22 4:33:19 PM GMT+2","50-60","","ultran","12 kertaa viikossa","Ei tulosta","Mäkeä (kävellen/sauvoilla);Alamäkijuoksu;Vetoja;Pitkiksiä;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Muistan juoda","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa","Ajanpuute;Laiskuus;Liian paljon vaihtoehtoja","järjestäjän merkkejä;merkattuja reittejä;gps-reittiä;mobiilikarttaa;paperikarttaa ja kompassia;suuntaa auringosta;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava;kengät kastui;Enimmäkseen kaikinpuolin hyviä kun itse vetää 🤣","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Vaajakoski;Aika iso alue käy kellonajasta riippuen","juoksen alkulämpät;pyörällä","17-19","17-19","","17-19","","","","1 h;1 h 30 min;2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut","Maastopyöräily;Uinti;Melonta;Rogain;Hiihto;Lumikenkäily;Retkeily;Retkiluistelu;Rullaluistelu, jääkiekko, sähly"
"2023/01/22 4:54:38 PM GMT+2","50-60","naiset","10km lenkin","kolmesti viikossa","2500m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Nopeaa kävelyä (speed hike);Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Muistan juoda","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus","Laiskuus","järjestäjän merkkejä;merkattuja reittejä;gps-reittiä;mobiilikarttaa;paperikarttaa ja kompassia;suuntaa auringosta;olen oman tieni kulkija","Joo","Edellisenä vuonna","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Muurame;Vaajakoski;Kaikki käy","pyörällä;toisen kyydillä;omalla autolla","","","17-19","17-19","17-19","","","1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä","helppoa neulaspolkua;kivikkoa;juurakkoa","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit","Melonta;Rogain;Hiihto;Lumikenkäily;Retkeily"
"2023/01/22 4:55:08 PM GMT+2","40-50","naiset","puolimaratonin","viidesti viikossa","2400m","Mäkeä (kävellen/sauvoilla);Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet","polkujuoksu pohjoisessa suomessa","Ajanpuute;Laiskuus;Ruuhkavuodet","järjestäjän merkkejä;merkattuja reittejä;gps-reittiä;mobiilikarttaa;olen oman tieni kulkija","En","","Sippulanniemi;Keljonkangas;Myllyjärvi;Muurame","omalla autolla","17-19","17-19","17-19","17-19","15-17;17-19","10-12;12-15","10-12;12-15","1 h","peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;rymypätkiä","viikkoa aiemmin","Ei ole vaikuttanut","Juoksublogit tai tarinat;Back yard ultra tyyppinen häppeninki","Maastopyöräily;Suunnistus;Hiihto;Retkeily"
"2023/01/22 5:06:57 PM GMT+2","40-50","naiset","puolimaratonin","neljästi viikossa","","Monipuolisesti eri lajeja","Kaksin","Tankkaan energiaa","nauttia luonnosta","","","mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Halssila;Keskusta;Sippulanniemi","omalla autolla","","19-21","19-21","19-21","","","","1 h 30 min","maltillinen hölkkä hitaimman mukaan","helppoa neulaspolkua;vain pieniä mäkiä","edellisenä päivänä;muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit","Maastopyöräily;Gravel-pyöräily;Kippurasarvipyöräily;Suppailu;Suunnistus;Rogain;Seikkailu-urheilu;Hiihto;Retkeily;Retkiluistelu;Laskettelu"
"2023/01/22 5:17:43 PM GMT+2","70-","naiset","ultran","8 kertaa viikossa","2100m","Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Käytän hierontapalveluita;Muistan juoda","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","En uskalla kulkea uusilla reiteillä yksin;Määrärahojen puute;Kaverin puute","järjestäjän merkkejä;merkattuja reittejä;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava","Aivan samaa missä.","omalla autolla","","","17-19","","17-19","10-12","10-12","2 h","maltillinen hölkkä hitaimman mukaan;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut;Facebook-läppä;Juoksublogit tai tarinat","Hiihto;Retkeily;Jumpat; combat"
"2023/01/22 5:31:04 PM GMT+2","","","ultran","seitsemästi viikossa","2400m","Mäkeä (kävellen/sauvoilla);Alamäkijuoksu;Nopeaa kävelyä (speed hike);Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla;UTMB kisa","Määrärahojen puute;Ajanpuute;ITRA pisteet tai UTMB-kivet;Kaverin puute;Kulkuyhteydet;Ruuhkavuodet;(UTMB) kisa-arvonnat","järjestäjän merkkejä;merkattuja reittejä;gps-reittiä;mobiilikarttaa;suuntaa auringosta","Joo","ihan sopiva kaikin puolin ja mukava;minun tasolleni liian nopea","Halssila;Kanavuori;Keskusta;Vaajakoski","pyörällä;toisen kyydillä;omalla autolla","17-19","17-19","17-19","17-19","17-19","17-19","17-19","1 h;1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit","Seikkailu-urheilu;Hiihto;Retkeily;Retkiluistelu"
"2023/01/22 6:03:30 PM GMT+2","30-40","miehet","puolimaratonin","neljästi viikossa","Ei tulosta","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus","Kaverin puute;Laiskuus","gps-reittiä;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava;kengät kastui","Sippulanniemi;Keljonkangas","omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","7-10;10-12;12-15;15-17;17-19","7-10;10-12;12-15;15-17;17-19","1 h 30 min","maltillinen hölkkä hitaimman mukaan;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;rymypätkiä","viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit","Maastopyöräily;Kiipeily tai boulderointi;Kuntosali"
"2023/01/22 6:29:00 PM GMT+2","30-40","miehet","ultran","kuudesti viikossa","","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Nopeaa kävelyä (speed hike);Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","polku- tai vuorijuoksu ulkomailla;UTMB kisa","(UTMB) kisa-arvonnat","mobiilikarttaa;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Halssila;Vaajakoski","juoksen alkulämpät;pyörällä;omalla autolla","17-19","17-19","17-19","17-19","17-19","17-19","17-19","1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Juoksukaverit","Maastopyöräily;Gravel-pyöräily;Kippurasarvipyöräily;Suunnistus;Hiihto;Retkeily"
"2023/01/22 6:45:28 PM GMT+2","20-30","naiset","ultran","viidesti viikossa","","Mäkeä (kävellen/sauvoilla);Nopeaa kävelyä (speed hike);Vetoja;Pitkiksiä;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä)","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus","Ajanpuute;Kaverin puute;Ruuhkavuodet","merkattuja reittejä;mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Keskusta;Sippulanniemi;Myllyjärvi;Mäyrämäki","pyörällä","","17-19","17-19","17-19","","","","1 h;1 h 30 min;2 h;2 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä","helppoa neulaspolkua;vain pieniä mäkiä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit","Seikkailu-urheilu;Hiihto;Retkeily"
